Title,Image,_287661cb_URL,c4fc20ba,f343d9ce,_7afabd84,_4b74b8bb,_4720d1a0,_4720d1a01,_4720d1a02,_85d9f2e2,_3d84afe9
In The Beautiful Neighborhood In Agrabad Housing Residential Area A 1135 Square Feet Flat Is Up For Sale .,,https://www.bproperty.com/en/property/details-5295153.html,BDT,38 Lakh,"24 No. North Agrabad Ward, Double Mooring, Chattogram",Apartment,3,3,"1,135 sqft", Call, Email
Worthy 2386 SQ FT residence is for sale at Nasirabad,,https://www.bproperty.com/en/property/details-3194374.html,BDT,2.05 Crore,"O R Nizam Road Residential Area, Nasirabad, 15 No. Bagmoniram Ward, Chattogram",Apartment,4,4,"2,386 sqft", Call, Email
Well-planned Flat Of 1500 Sq Ft Is Up For Sale Is Situated In Oxygen,,https://www.bproperty.com/en/property/details-4628571.html,BDT,50 Lakh,"Koylar Ghar, Oxygen, Bayazid, Chattogram",Apartment,3,3,"1,500 sqft", Call, Email
A Smartly Priced 1175 Sq. Ft Apartment Which Is Up For Sale In West Khulshi R/A.,,https://www.bproperty.com/en/property/details-4702688.html,BDT,45 Lakh,"West Khulshi R/A, 9 No. North Pahartali Ward, Chattogram",Apartment,2,2,"1,175 sqft", Call, Email
A very beautiful 1200 SQ FT home is now available for sale in Jamal Khan,,https://www.bproperty.com/en/property/details-4959688.html,BDT,80 Lakh,"Jamal Khan, Chattogram",Apartment,3,3,"1,200 sqft", Call, Email
"View This 1650 Sq Ft Apartment With Good Security, Ready For Sale At Halishahar, H Block",https://images-cdn.bproperty.com/thumbnails/1350572-400x300.jpeg,https://www.bproperty.com/en/property/details-5349364.html,BDT,74.25 Lakh,"Block H, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",Apartment,3,3,"1,650 sqft", Call, Email
Properly Designed This 1650 Square Feet Apartment Is Now Up For Sale In 26 No. North Halishahar Ward.,https://images-cdn.bproperty.com/thumbnails/1349159-400x300.jpeg,https://www.bproperty.com/en/property/details-5349367.html,BDT,74.25 Lakh,"Block H, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",Apartment,3,3,"1,650 sqft", Call, Email
"Wonderful 1500 Sq Ft Flat Is Up For Sale In Dewan Bazar, Bakalia",https://images-cdn.bproperty.com/thumbnails/1347928-400x300.jpeg,https://www.bproperty.com/en/property/details-4689341.html,BDT,85 Lakh,"Dewan Bazar, Bakalia, Chattogram",Apartment,3,3,"1,500 sqft", Call, Email
"1160 Sq Ft Apartment Is Ready To Sale In Bakalia, Dewan Bazar",https://images-cdn.bproperty.com/thumbnails/1347879-400x300.jpeg,https://www.bproperty.com/en/property/details-5263359.html,BDT,52.2 Lakh,"Dewan Bazar, Bakalia, Chattogram",Apartment,3,3,"1,160 sqft", Call, Email
"Check This 1400 Sq. Ft Flat In Karnaphuly Abashik Elaka, Rampur For Sale Which Is Ready To Move In",https://images-cdn.bproperty.com/thumbnails/1346884-400x300.jpeg,https://www.bproperty.com/en/property/details-3214096.html,BDT,70 Lakh,"Karnaphuly Abashik Elaka, 25 No. Rampur Ward, Double Mooring, Chattogram",Apartment,3,3,"1,400 sqft", Call, Email
Take A Look At This 2200 Sq Ft Apartment Ready For Sale In 26 No. North Halishahar Ward,,https://www.bproperty.com/en/property/details-5348043.html,BDT,1.21 Crore,"Block H, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",Apartment,3,3,"2,200 sqft", Call, Email
Checkout This 2000 Sq Ft Apartment Ready For Sale At Halishahar,,https://www.bproperty.com/en/property/details-5348044.html,BDT,1.1 Crore,"Block H, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",Apartment,3,3,"2,000 sqft", Call, Email
"Grab This 2200 Sq Ft Apartment With 3 Beds Up For Sale At Halishahar Housing Estate, Block H",,https://www.bproperty.com/en/property/details-5348045.html,BDT,1.21 Crore,"Block H, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",Apartment,3,3,"2,200 sqft", Call, Email
2000 Sq Ft Apartment Is Ready For Sale At Halishahar Housing Estate,,https://www.bproperty.com/en/property/details-5348046.html,BDT,1.1 Crore,"Block H, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",Apartment,3,3,"2,000 sqft", Call, Email
Amazing 2200 Sq Ft Apartment Ready For Sale At 26 No. North Halishahar Ward,,https://www.bproperty.com/en/property/details-5348047.html,BDT,1.21 Crore,"Block H, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",Apartment,3,3,"2,200 sqft", Call, Email
No Place Rather Than Halishahar Does It Better To Provide You With Better Homely Affairs with good features,,https://www.bproperty.com/en/property/details-5348048.html,BDT,1.1 Crore,"Block H, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",Apartment,3,3,"2,000 sqft", Call, Email
View This 2200 Sq Ft Apartment Available For Sale At Halishahar With 3 Beds,,https://www.bproperty.com/en/property/details-5348049.html,BDT,1.21 Crore,"Block H, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",Apartment,3,3,"2,200 sqft", Call, Email
"Buy This 2000 Sq Ft Apartment In 26 No. North Halishahar Ward, Halishahar Housing Estate",,https://www.bproperty.com/en/property/details-5348050.html,BDT,1.1 Crore,"Block H, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",Apartment,3,3,"2,000 sqft", Call, Email
Envision Your Living Opportunity In This Apartment Of 2200 Sq Ft With Numerous Notions Of Contemporary Interior,,https://www.bproperty.com/en/property/details-5348051.html,BDT,1.21 Crore,"Block H, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",Apartment,3,3,"2,200 sqft", Call, Email
Halishahar Is Offering You A 2000 Sq Ft Apartment Ready For Sale,,https://www.bproperty.com/en/property/details-5348052.html,BDT,1.1 Crore,"Block H, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",Apartment,3,3,"2,000 sqft", Call, Email
Let Us Assist You To Buy This Flat Of 2000 Sq Ft Summiting The Vision About Your Future Home,,https://www.bproperty.com/en/property/details-5348054.html,BDT,1.1 Crore,"Block H, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",Apartment,3,3,"2,000 sqft", Call, Email
2200 Sq Ft Apartment Is Ready For Sale At 26 No. North Halishahar Ward,,https://www.bproperty.com/en/property/details-5348055.html,BDT,1.21 Crore,"Block H, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",Apartment,3,3,"2,200 sqft", Call, Email
Available Residential Apartment Of 1935 Sq. Ft At Chatteshwari Road Is Up For Sale.,,https://www.bproperty.com/en/property/details-5329830.html,BDT,1.16 Crore,"Chatteshwari Road, Kazir Dewri, Chattogram",Apartment,3,3,"1,935 sqft", Call, Email
An Adequate Apartment Of 1160 Sq. Ft Is Up For Sale In Dewan Bazar .,,https://www.bproperty.com/en/property/details-5263361.html,BDT,52.2 Lakh,"Dewan Bazar, Bakalia, Chattogram",Apartment,3,3,"1,160 sqft", Call, Email
1792 Square Feet Flat In Chatteshwari Road Is Now For Sale.,,https://www.bproperty.com/en/property/details-5329831.html,BDT,1.08 Crore,"Chatteshwari Road, Kazir Dewri, Chattogram",Apartment,3,3,"1,792 sqft", Call, Email
"1100 Sq Ft Flat Is Up For Sale In Agrabad Housing Residential Area, Double Mooring",,https://www.bproperty.com/en/property/details-3785886.html,BDT,45 Lakh,"Agrabad Housing Residential Area, 24 No. North Agrabad Ward, Double Mooring, Chattogram",Apartment,3,3,"1,100 sqft", Call, Email
1592 Square Feet -3 Bedroom Residential Apartment For Sale At 16 No. Chawk Bazaar Ward.,,https://www.bproperty.com/en/property/details-5345094.html,BDT,85.6 Lakh,"Munshi Pukur Par, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,3,4,"1,592 sqft", Call, Email
2067 Square Feet Residential Apartment At Chatteshwari Road For Sale,,https://www.bproperty.com/en/property/details-5329832.html,BDT,1.24 Crore,"Chatteshwari Road, Kazir Dewri, Chattogram",Apartment,4,4,"2,067 sqft", Call, Email
Buy This Flat For The vibrant Urban Lifestyle You Dream About,,https://www.bproperty.com/en/property/details-5296000.html,BDT,49.5 Lakh,"Pahartali, 12 No. Sarai Para Ward, Double Mooring, Chattogram",Apartment,4,4,"1,500 sqft", Call, Email
A Nicely Constructed Apartment Of 1350 Sq Ft Is Available Right Now For Sale In Oxygen,https://images-cdn.bproperty.com/thumbnails/1321472-400x300.jpeg,https://www.bproperty.com/en/property/details-4628561.html,BDT,55 Lakh,"Koylar Ghar, Oxygen, Bayazid, Chattogram",Apartment,3,3,"1,350 sqft", Call, Email
2000 Sq Ft Apartment Is Available For Sale At Halishahar,https://images-cdn.bproperty.com/thumbnails/1346876-400x300.jpeg,https://www.bproperty.com/en/property/details-5348042.html,BDT,1.1 Crore,"Block H, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",Apartment,3,3,"2,000 sqft", Call, Email
This 2200 Square Feet- 3 Bedroom Residential Apartment For Sale At 26 No. North Halishahar Ward.,https://images-cdn.bproperty.com/thumbnails/1346792-400x300.jpeg,https://www.bproperty.com/en/property/details-5348053.html,BDT,1.21 Crore,"Block H, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",Apartment,3,3,"2,200 sqft", Call, Email
"In 9 No. North Pahartali Ward, This 1102 Sq Ft Well Featured Residence Is Waiting For Sale",https://images-cdn.bproperty.com/thumbnails/1337872-400x300.jpeg,https://www.bproperty.com/en/property/details-4541621.html,BDT,44.08 Lakh,"9 No. North Pahartali Ward, Chattogram",Apartment,3,3,"1,102 sqft", Call, Email
Brand New Apartment Of 982 Sq Ft Is Available For Sale In 9 No. North Pahartali Ward,https://images-cdn.bproperty.com/thumbnails/1337871-400x300.jpeg,https://www.bproperty.com/en/property/details-4541620.html,BDT,39.28 Lakh,"9 No. North Pahartali Ward, Chattogram",Apartment,3,3,982 sqft, Call, Email
A Beautiful 940 Sq Ft Apartment Is Up For Sale At 9 No. North Pahartali Ward,,https://www.bproperty.com/en/property/details-4541619.html,BDT,37.6 Lakh,"9 No. North Pahartali Ward, Chattogram",Apartment,2,2,940 sqft, Call, Email
Select Your Next Residing Place At This Nice Flat Of 1408 Sq Ft In Halishahar,,https://www.bproperty.com/en/property/details-5340564.html,BDT,49.28 Lakh,"Sabujbag, Halishahar, Chattogram",Apartment,3,3,"1,408 sqft", Call, Email
Select Your Next Residing Place At This Nice Flat Of 805 Sq Ft In 9 No. North Pahartali Ward,,https://www.bproperty.com/en/property/details-4541618.html,BDT,32.2 Lakh,"9 No. North Pahartali Ward, Chattogram",Apartment,2,2,805 sqft, Call, Email
1102 Sq Ft Flat For Sale In 9 No. North Pahartali Ward,,https://www.bproperty.com/en/property/details-4541602.html,BDT,44.08 Lakh,"9 No. North Pahartali Ward, Chattogram",Apartment,3,3,"1,102 sqft", Call, Email
This Perfectly Designed Apartment Of 982 Sq Ft For Sale In 9 No. North Pahartali Ward,,https://www.bproperty.com/en/property/details-4541596.html,BDT,39.28 Lakh,"9 No. North Pahartali Ward, Chattogram",Apartment,2,2,982 sqft, Call, Email
This 1157 Square Feet Residential Apartment For Sale Close To Sabujbag Central Jame Masjid At Halishahar .,,https://www.bproperty.com/en/property/details-5340548.html,BDT,40.49 Lakh,"Sabujbag, Halishahar, Chattogram",Apartment,3,3,"1,157 sqft", Call, Email
1190 Sq Ft Flat For Sale At 11 No South Kattali Ward,,https://www.bproperty.com/en/property/details-5334405.html,BDT,80 Lakh,"Dakshin Kattali, 11 No. South Kattali Ward, Chattogram",Apartment,3,3,"1,190 sqft", Call, Email
Check This 1388 Sq. Ft Apartment Up For Sale At Dewanhat Very Near To Dewanhat City Corporation College,,https://www.bproperty.com/en/property/details-5330425.html,BDT,55.52 Lakh,"24 No. North Agrabad Ward, Double Mooring, Chattogram",Apartment,3,3,"1,388 sqft", Call, Email
"In The Location Of West Khulshi R/A, An Adequate 1599 Sq. Ft House Is For Sale.",,https://www.bproperty.com/en/property/details-4702689.html,BDT,65 Lakh,"West Khulshi R/A, 9 No. North Pahartali Ward, Chattogram",Apartment,3,3,"1,599 sqft", Call, Email
See This 982 Sq Ft Apartment For Sale Is All Set For You In 9 No. North Pahartali Ward,,https://www.bproperty.com/en/property/details-4541609.html,BDT,39.28 Lakh,"9 No. North Pahartali Ward, Chattogram",Apartment,2,2,982 sqft, Call, Email
A Finely Built 1428 Sq Ft Flat Is Up For Sale In Halishahar,,https://www.bproperty.com/en/property/details-5340567.html,BDT,49.98 Lakh,"Sabujbag, Halishahar, Chattogram",Apartment,3,3,"1,428 sqft", Call, Email
See This 1428 Sq Ft Apartment For Sale Is All Set For You In Sabujbag,,https://www.bproperty.com/en/property/details-5340565.html,BDT,49.98 Lakh,"Sabujbag, Halishahar, Chattogram",Apartment,3,3,"1,428 sqft", Call, Email
A Finely Built 982 Sq Ft Flat Is Up For Sale In 9 No. North Pahartali Ward,,https://www.bproperty.com/en/property/details-4541603.html,BDT,39.28 Lakh,"9 No. North Pahartali Ward, Chattogram",Apartment,2,2,982 sqft, Call, Email
Grab This 1102 Sq. Ft Lovely Flat For Sale In 9 No. North Pahartali Ward Before It's Sold Out,,https://www.bproperty.com/en/property/details-4541608.html,BDT,44.08 Lakh,"9 No. North Pahartali Ward, Chattogram",Apartment,3,3,"1,102 sqft", Call, Email
A 2067 Square Feet Residential Apartment For Sale Next To Sree Sree Chatteshwari Kali Temple,,https://www.bproperty.com/en/property/details-5329829.html,BDT,1.24 Crore,"Chatteshwari Road, Kazir Dewri, Chattogram",Apartment,4,4,"2,067 sqft", Call, Email
At Chatteshwari Road This 1792 Square Feet Residential Apartment For Sale.,,https://www.bproperty.com/en/property/details-5329825.html,BDT,1.08 Crore,"Chatteshwari Road, Kazir Dewri, Chattogram",Apartment,3,3,"1,792 sqft", Call, Email
A 2067 Square Feet Residential Apartment For Sale At Chatteshwari Road,,https://www.bproperty.com/en/property/details-5329826.html,BDT,1.24 Crore,"Chatteshwari Road, Kazir Dewri, Chattogram",Apartment,4,4,"2,067 sqft", Call, Email
A 1792 Square Feet Residential Apartment For Sale At Chatteshwari Road,,https://www.bproperty.com/en/property/details-5329819.html,BDT,1.08 Crore,"Chatteshwari Road, Kazir Dewri, Chattogram",Apartment,3,3,"1,792 sqft", Call, Email
"Choose Your Next Flat To Reside By In Kazir Dewri, Chatteshwari Road",,https://www.bproperty.com/en/property/details-5329818.html,BDT,1.16 Crore,"Chatteshwari Road, Kazir Dewri, Chattogram",Apartment,3,3,"1,935 sqft", Call, Email
"2067 Sq Ft Apartment To Sale In Kazir Dewri, Chatteshwari Road",,https://www.bproperty.com/en/property/details-5329820.html,BDT,1.24 Crore,"Chatteshwari Road, Kazir Dewri, Chattogram",Apartment,4,4,"2,067 sqft", Call, Email
Let Us Assist You To Buy This Flat In Kazir Dewri Summiting The Vision About Your Future Home,https://images-cdn.bproperty.com/thumbnails/1332671-400x300.jpeg,https://www.bproperty.com/en/property/details-5329828.html,BDT,1.08 Crore,"Chatteshwari Road, Kazir Dewri, Chattogram",Apartment,3,3,"1,792 sqft", Call, Email
Buy This Flat In Kazir Dewri For The Ideal Urban Lifestyle You Dream About,https://images-cdn.bproperty.com/thumbnails/1332674-400x300.jpeg,https://www.bproperty.com/en/property/details-5329824.html,BDT,1.16 Crore,"Chatteshwari Road, Kazir Dewri, Chattogram",Apartment,3,3,"1,935 sqft", Call, Email
This Promising Flat With A Nice Environment Is Ready To Be Sold In Double Mooring,https://images-cdn.bproperty.com/thumbnails/1331369-400x300.jpeg,https://www.bproperty.com/en/property/details-5296007.html,BDT,49.5 Lakh,"Pahartali, 12 No. Sarai Para Ward, Double Mooring, Chattogram",Apartment,4,4,"1,500 sqft", Call, Email
1190 Sq Ft Flat For Sale At 11 No South Kattali Ward,https://images-cdn.bproperty.com/thumbnails/1327047-400x300.jpeg,https://www.bproperty.com/en/property/details-5334393.html,BDT,80 Lakh,"Dakshin Kattali, 11 No. South Kattali Ward, Chattogram",Apartment,3,3,"1,190 sqft", Call, Email
For Selling Purpose This 1102 Sq. Ft Flat Is Now Vacant In 9 No. North Pahartali Ward.,,https://www.bproperty.com/en/property/details-4541595.html,BDT,44.08 Lakh,"9 No. North Pahartali Ward, Chattogram",Apartment,3,3,"1,102 sqft", Call, Email
"Let Us Assist You To Buy This Flat Summiting The Vision About Your Future Home, Located In Kazir Dewri, Chatteshwari Road",,https://www.bproperty.com/en/property/details-5329827.html,BDT,1.16 Crore,"Chatteshwari Road, Kazir Dewri, Chattogram",Apartment,3,3,"1,935 sqft", Call, Email
3800 Sq Ft Full Building Is Ready For Sale In 7 No. West Sholoshohor Ward,,https://www.bproperty.com/en/property/details-5330379.html,BDT,2.28 Crore,"7 No. West Sholoshohor Ward, Chattogram",Building,12,10,"3,800 sqft", Call, Email
1400 Sq Ft Flat For Sale At Bayazid,,https://www.bproperty.com/en/property/details-4072133.html,BDT,70 Lakh,"Chattogram DOHS, Bayazid, Chattogram",Apartment,3,3,"1,400 sqft", Call, Email
1580 Sq. Ft Flat For Sale At Chawk Bazar Near By Chittagong Government High School.,,https://www.bproperty.com/en/property/details-5246189.html,BDT,80 Lakh,"Chawk Bazar, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,3,3,"1,580 sqft", Call, Email
"In A Peaceful Location Of North Pahartali, A Fantastic Flat Of 2061 Sq Ft Is Waiting For Sale.",,https://www.bproperty.com/en/property/details-3445724.html,BDT,1.45 Crore,"9 No. North Pahartali Ward, Chattogram",Apartment,4,4,"2,061 sqft", Call, Email
Grab This Lovely Flat Of 1520 Sq Ft Is Up For Sale In Bahaddarhat Before It's Sold Out,,https://www.bproperty.com/en/property/details-5206248.html,BDT,60.2 Lakh,"Bahaddarhat, 4 No Chandgaon Ward, Chattogram",Apartment,3,3,"1,520 sqft", Call, Email
This 1335 sq. ft home which is for sale will ensure your good quality of living in Bahaddarhat,,https://www.bproperty.com/en/property/details-5206247.html,BDT,46.73 Lakh,"Bahaddarhat, 4 No Chandgaon Ward, Chattogram",Apartment,3,3,"1,335 sqft", Call, Email
Worthy 1535 SQ FT residence is for sale at 4 No Chandgaon Ward,,https://www.bproperty.com/en/property/details-5206252.html,BDT,53.73 Lakh,"Bahaddarhat, 4 No Chandgaon Ward, Chattogram",Apartment,3,3,"1,535 sqft", Call, Email
Offering you 1520 SQ FT flat for sale in 4 No Chandgaon Ward,,https://www.bproperty.com/en/property/details-5206259.html,BDT,60 Lakh,"Bahaddarhat, 4 No Chandgaon Ward, Chattogram",Apartment,3,3,"1,520 sqft", Call, Email
"Find Your Peace And Vibe With The Mellow Environment Of This Apartment, Amidst Of Your Monotonous City Life",,https://www.bproperty.com/en/property/details-5296001.html,BDT,49.5 Lakh,"Pahartali, 12 No. Sarai Para Ward, Double Mooring, Chattogram",Apartment,4,4,"1,500 sqft", Call, Email
1790 Sq Ft Residential Apartment For Sale At 24 No. North Agrabad Ward,,https://www.bproperty.com/en/property/details-5330415.html,BDT,75.18 Lakh,"24 No. North Agrabad Ward, Double Mooring, Chattogram",Apartment,3,3,"1,790 sqft", Call, Email
1850 Sq Ft Apartment Is Ready To Sale In Muradpur,,https://www.bproperty.com/en/property/details-3398132.html,BDT,1 Crore,"Nasirabad Housing Society, Muradpur, Chattogram",Apartment,3,4,"1,850 sqft", Call, Email
Apartment Of 954 Sq Ft For Sale In Double Mooring,,https://www.bproperty.com/en/property/details-3392239.html,BDT,40 Lakh,"South Agrabad, Double Mooring, Chattogram",Apartment,2,2,954 sqft, Call, Email
Double Mooring Is Offering You A 954 Sq Ft Flat For Sale,,https://www.bproperty.com/en/property/details-3392248.html,BDT,40 Lakh,"South Agrabad, Double Mooring, Chattogram",Apartment,2,2,954 sqft, Call, Email
This 3888 Sq Ft Full Building Is Ready To Sale At Halishahar,,https://www.bproperty.com/en/property/details-5313612.html,BDT,1.2 Crore,"Kolshi Dighir Par, Bandartila, 38 No. South Middle Halishahar, Halishahar, Chattogram",Building,7,8,"3,888 sqft", Call, Email
An Amazing 1900 Sq Ft Apartment For Up Sale And All Set For You To Settle In,,https://www.bproperty.com/en/property/details-3661833.html,BDT,90 Lakh,"Shah Garibullah Housing Society, Khulshi 1, Uttar Lalkhan, Chattogram",Apartment,3,3,"1,900 sqft", Call, Email
At Alkaran Road 2252 Square Feet Large Residential Apartment For Sale,,https://www.bproperty.com/en/property/details-4587587.html,BDT,1.13 Crore,"31 No. Alkoron Ward, Chattogram",Apartment,4,4,"2,252 sqft", Call, Email
Worthy 1520 SQ FT residence is for sale at Chandgaon,,https://www.bproperty.com/en/property/details-5206258.html,BDT,53.2 Lakh,"Bahaddarhat, 4 No Chandgaon Ward, Chattogram",Apartment,3,3,"1,520 sqft", Call, Email
Worthy 1520 SQ FT residence is for sale at Bahaddarhat,https://images-cdn.bproperty.com/thumbnails/1229296-400x300.jpeg,https://www.bproperty.com/en/property/details-5206253.html,BDT,53.2 Lakh,"Bahaddarhat, 4 No Chandgaon Ward, Chattogram",Apartment,3,3,"1,520 sqft", Call, Email
Grab This 3732 Sq Ft Apartment Ready For Sale At Khulshi,https://images-cdn.bproperty.com/thumbnails/1237570-400x300.jpeg,https://www.bproperty.com/en/property/details-4638849.html,BDT,4.92 Crore,"Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",Apartment,4,4,"3,732 sqft", Call, Email
"24,500 Sq Ft Ready Full Building Is Available For Sale At Baluchara .",https://images-cdn.bproperty.com/thumbnails/1219519-400x300.jpeg,https://www.bproperty.com/en/property/details-4174801.html,BDT,7 Crore,"Baluchara, Bayazid, Chattogram",Building,50,10,"24,500 sqft", Call, Email
"Offering You A 965 Sq Ft Apartment, Which Is Up For Sale In Double Mooring",https://images-cdn.bproperty.com/thumbnails/1316126-400x300.jpeg,https://www.bproperty.com/en/property/details-3742679.html,BDT,35 Lakh,"South Agrabad, Double Mooring, Chattogram",Apartment,2,2,965 sqft, Call, Email
1300 Sq Ft Flat For Sale At Bayazid,https://images-cdn.bproperty.com/thumbnails/1312467-400x300.jpeg,https://www.bproperty.com/en/property/details-5323411.html,BDT,72 Lakh,"Chattogram DOHS, Bayazid, Chattogram",Apartment,3,3,"1,300 sqft", Call, Email
Offering You 1400 Sq Ft Apartment For Sale In Chattogram DOHS,,https://www.bproperty.com/en/property/details-4072132.html,BDT,72 Lakh,"Chattogram DOHS, Bayazid, Chattogram",Apartment,3,3,"1,400 sqft", Call, Email
At Khaja Road 1355 Square Feet Apartment Is For Sale Close To Shabanghata Jame Moshzid.,,https://www.bproperty.com/en/property/details-5206254.html,BDT,47.42 Lakh,"Bahaddarhat, 4 No Chandgaon Ward, Chattogram",Apartment,3,3,"1,355 sqft", Call, Email
A 1600 Sq. ft Luxurious Apartment Ready For Sale At South Khulshi Residential Area.,,https://www.bproperty.com/en/property/details-3681290.html,BDT,80 Lakh,"Road No 1, Block B, South Khulshi Residential Area, South Khulshi, Khulshi, Chattogram",Apartment,3,3,"1,600 sqft", Call, Email
1310 Sq Ft Comfortable For Flat Sale At Hathazari,,https://www.bproperty.com/en/property/details-4959156.html,BDT,45.85 Lakh,"Hathazari, Chattogram",Apartment,3,3,"1,310 sqft", Call, Email
At Lalkan Bazar 1030 Sq Ft Ready Apartment For Sale Nearby Lal Khan Bazar Central Mosque,,https://www.bproperty.com/en/property/details-1863216.html,BDT,45 Lakh,"Dampara, 14 No. Lalkhan Bazaar Ward, Lal Khan Bazaar, Chattogram",Apartment,3,2,"1,030 sqft", Call, Email
Flat For Sale In South Khulshi Near Khulshi Jame Masjid,,https://www.bproperty.com/en/property/details-1944317.html,BDT,1.25 Crore,"South Khulshi, Khulshi, Chattogram",Apartment,3,3,"1,635 sqft", Call, Email
1060 Sq Ft Luxurious Apartment Ready For Sale In Khulshi,,https://www.bproperty.com/en/property/details-5123412.html,BDT,55 Lakh,"South Khulshi, Khulshi, Chattogram",Apartment,2,2,"1,060 sqft", Call, Email
This Residential Full Building Of 3938 Sq Ft Is Up For Sale In Double Mooring,,https://www.bproperty.com/en/property/details-5316337.html,BDT,80 Lakh,"Dewanhat, 23 No. North Pathantooly Ward, Double Mooring, Chattogram",Building,12,4,"3,938 sqft", Call, Email
"An Amazing 1302 Sq Ft Apartment Is Up For Sale And All Set For You To Settle In Bakalia, Chattogram",,https://www.bproperty.com/en/property/details-5313358.html,BDT,58.59 Lakh,"Ghat Farhat Beg, Dewan Bazar, Bakalia, Chattogram",Apartment,3,3,"1,302 sqft", Call, Email
Affordable And Wonderful 1500 Sq Ft Flat Is Up For Sale In Bakalia,,https://www.bproperty.com/en/property/details-5197847.html,BDT,82.5 Lakh,"Ghat Farhat Beg, Dewan Bazar, Bakalia, Chattogram",Apartment,3,3,"1,500 sqft", Call, Email
"Looking For A Tasteful Home To Buy In Bakalia, Check This One Out",,https://www.bproperty.com/en/property/details-5197849.html,BDT,82.5 Lakh,"Ghat Farhat Beg, Dewan Bazar, Bakalia, Chattogram",Apartment,3,3,"1,500 sqft", Call, Email
Your Desired 3 Bedroom Flat In Bakalia Is Now Up For Sale,,https://www.bproperty.com/en/property/details-5197850.html,BDT,92.67 Lakh,"Ghat Farhat Beg, Dewan Bazar, Bakalia, Chattogram",Apartment,3,3,"1,685 sqft", Call, Email
Amazing 1400 Sq Ft Apartment Is Up For Sale And All Set For You To Settle In Bakalia,,https://www.bproperty.com/en/property/details-5197848.html,BDT,77 Lakh,"Ghat Farhat Beg, Dewan Bazar, Bakalia, Chattogram",Apartment,3,3,"1,400 sqft", Call, Email
3 Bedroom Adequate Living Flat Is Up For Sale In Bakalia With Satisfactory Price,,https://www.bproperty.com/en/property/details-5197846.html,BDT,92.67 Lakh,"Ghat Farhat Beg, Dewan Bazar, Bakalia, Chattogram",Apartment,3,3,"1,685 sqft", Call, Email
"Grab This Flat Of 1500 Sq Ft Which Is Up For Sale In Dewan Bazar, Bakalia Before It's Sold Out",,https://www.bproperty.com/en/property/details-5197833.html,BDT,82.5 Lakh,"Ghat Farhat Beg, Dewan Bazar, Bakalia, Chattogram",Apartment,3,3,"1,500 sqft", Call, Email
3 Bedroom Adequate Living Flat Is Up For Sale In Bakalia With Satisfactory Price,,https://www.bproperty.com/en/property/details-5197840.html,BDT,82.5 Lakh,"Ghat Farhat Beg, Dewan Bazar, Bakalia, Chattogram",Apartment,3,3,"1,500 sqft", Call, Email
"Looking For A Tasteful Home To Buy In Bakalia, Check This One Out",,https://www.bproperty.com/en/property/details-5197845.html,BDT,92.67 Lakh,"Ghat Farhat Beg, Dewan Bazar, Bakalia, Chattogram",Apartment,3,3,"1,685 sqft", Call, Email
Your desired 3 bedroom home in Bakalia is now up for Sale,,https://www.bproperty.com/en/property/details-5197844.html,BDT,82.5 Lakh,"Ghat Farhat Beg, Dewan Bazar, Bakalia, Chattogram",Apartment,3,3,"1,500 sqft", Call, Email
"Grab This Lovely Flat Of 1500 Sq Ft Is Up For Sale In Bakalia, Chattogram",,https://www.bproperty.com/en/property/details-5197843.html,BDT,82.5 Lakh,"Ghat Farhat Beg, Dewan Bazar, Bakalia, Chattogram",Apartment,3,3,"1,500 sqft", Call, Email
"Available In Chandgaon Residential Area , A 1313 Sq. Ft Apartment For Sale .",https://images-cdn.bproperty.com/thumbnails/1305326-400x300.jpeg,https://www.bproperty.com/en/property/details-5312872.html,BDT,72 Lakh,"B-Block Chandgaon R/A, Chandgaon Residential Area, 4 No Chandgaon Ward, Chattogram",Apartment,3,3,"1,313 sqft", Call, Email
